Timestamp,PWM_Left,PWM_R,RPM_L,RPM_R,Delta,Afstand_L,Afstand_R,X,Y,Theta_deg
2025-04-15 14:48:25.022,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.073,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.124,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.174,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.225,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.275,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.326,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.376,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.426,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.477,1695.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15 14:48:25.527,1680.0,1715.0,0.0,100.0,100.0,0.0,3.3,1.6,0.1,3.8
2025-04-15 14:48:25.577,1680.0,1715.0,0.0,100.0,100.0,0.0,3.3,3.3,0.3,7.7
2025-04-15 14:48:25.627,1650.0,1745.0,100.0,400.0,300.0,3.3,13.1,11.0,3.0,19.1
2025-04-15 14:48:25.678,1680.0,1715.0,500.0,600.0,100.0,16.4,19.6,27.6,10.0,23.0
2025-04-15 14:48:25.728,1695.0,1700.0,700.0,700.0,0.0,22.9,22.9,48.6,19.0,23.0
2025-04-15 14:48:25.778,1755.0,1640.0,1100.0,700.0,-400.0,36.0,22.9,77.8,22.9,7.7
2025-04-15 14:48:25.829,1680.0,1715.0,1000.0,1100.0,100.0,32.7,36.0,111.5,29.7,11.5
2025-04-15 14:48:25.879,1620.0,1775.0,800.0,1300.0,500.0,26.2,42.5,141.1,47.2,30.6
2025-04-15 14:48:25.929,1650.0,1745.0,1100.0,1400.0,300.0,36.0,45.8,171.4,74.6,42.1
2025-04-15 14:48:25.980,1710.0,1685.0,1400.0,1300.0,-100.0,45.8,42.5,206.1,102.0,38.3
2025-04-15 14:48:26.031,1740.0,1655.0,1600.0,1300.0,-300.0,52.4,42.5,248.5,123.4,26.8
2025-04-15 14:48:26.081,1695.0,1700.0,1500.0,1500.0,0.0,49.1,49.1,292.3,145.5,26.8
2025-04-15 14:48:26.131,1665.0,1730.0,1300.0,1500.0,200.0,42.5,49.1,330.1,171.4,34.4
2025-04-15 14:48:26.182,1650.0,1745.0,1300.0,1600.0,300.0,42.5,52.4,363.1,205.5,45.9
2025-04-15 14:48:26.232,1650.0,1745.0,1300.0,1600.0,300.0,42.5,52.4,388.7,245.5,57.4
2025-04-15 14:48:26.282,1695.0,1700.0,1500.0,1500.0,0.0,49.1,49.1,415.1,286.8,57.4
2025-04-15 14:48:26.332,1725.0,1670.0,1500.0,1300.0,-200.0,49.1,42.5,444.7,321.8,49.7
2025-04-15 14:48:26.383,1665.0,1730.0,1400.0,1600.0,200.0,45.8,52.4,471.2,363.1,57.4
2025-04-15 14:48:26.433,1650.0,1745.0,1300.0,1600.0,300.0,42.5,52.4,488.3,407.4,68.9
2025-04-15 14:48:26.483,1665.0,1730.0,1300.0,1500.0,200.0,42.5,49.1,498.9,452.0,76.5
2025-04-15 14:48:26.534,1695.0,1700.0,1400.0,1400.0,0.0,45.8,45.8,509.6,496.5,76.5
2025-04-15 14:48:26.584,1680.0,1715.0,1400.0,1500.0,100.0,45.8,49.1,517.6,543.3,80.4
2025-04-15 14:48:26.634,1680.0,1715.0,1400.0,1500.0,100.0,45.8,49.1,522.4,590.5,84.2
